Magnetic_stations,IAGA_code,UN,Geographic_lat,Geographic_lon,Decimal_lat,Decimal_lon,Geomag_Lat ,Altitude,DIP ,K9,,,
São Luís – MA,SLZ,BR,02°35′39″S,44°12′35″W,-2.59416667,-44.20972222,−03.6,32,−07.26,500,,,357.40583333
Alta Floresta – MT,ALF,BR,09°52′13″S,56°06′15″W,-9.87027778,-56.0875,−03.7,284,−07.50,500,,,350.12972222
Manaus – AM,MAN,BR,02°53′18″S,59°58′11″W,-2.88833333,-59.96972222,4.4,102,8.09,500,,,357.11166667
Araguatins – TO,ARA,BR,05°36′01″S,48°06′02″W,-5.60027778,-48.10055556,−05.6,103,−11.30,450,,,354.39972222
Eusébio – CE,EUS,BR,03°52′48″S,38°25′28″W,-3.88,-38.42444444,−08.2,43,−16.51,400,,,356.12
Cuiabá – MT,CBA,BR,15°33′17″S,56°04′10″W,-15.55472222,-56.06944444,−08.5,233,−17.10,400,,,344.44527778
Boa Vista – RR,BOA,BR,02°48′02″N,60°40′33″W,2.80055556,-60.67583333,9.4,76,18.8,400,,,362.80055556
Jataí – GO,JAT,BR,17°55′54″S,51°43′06″W,-17.93166667,-51.71833333,−12.3,708,−24.60,350,,,342.06833333
Tucumán – TU,TCM,AR,26°49′20″S,65°11′40″W,-26.82222222,-65.19444444,−15.8,431,−27.35,300,,,333.17777778
Cachoeira Paulista – SP,CXP,BR,22°42′07″S,45°00′52″W,-22.70194444,-45.01444444,−18.9,601,−36.43,300,,,337.29805556
São José dos Campos – SP,SJC,BR,23°12′31″S,45°57′49″W,-23.20861111,-45.96361111,−19.1,583,−36.64,300,,,336.79138889
Vassouras – RJ,VSS,BR,22°24′07″S,43°39′08″W,-22.40194444,-43.65222222,−19.7,443,−38.40,300,,,337.59805556
São Martinho da Serra – RS,SMS,BR,29°26′37″S,53°49′22″W,-29.44361111,-53.82277778,−21.6,462,−36.65,300,,,330.55638889
Rio Grande – TF,RGA,AR,53°47′09″S,67°45′42″W,-53.78583333,-67.76166667,−39.9,10,−50.03,400,,,306.21416667
