Array,Code,Name,Latitude,Longitude
CARISMA,ANNA,Ann Arbor,42.417,276.098
CARISMA,BACK,Back Lake,57.707,265.794
CARISMA,CONT,Contwoyto,65.754,248.75
CARISMA,DAWS,Dawson City,64.048,220.89
CARISMA,ESKI,Eskimo Point,61.106,265.95
CARISMA,FCHP,Fort Chipewyan,58.769,248.894
CARISMA,FCHU,Fort Churchill,58.763,265.92
CARISMA,FSIM,Fort Simpson,61.756,238.77
CARISMA,FSMI,Fort Smith,60.017,248.05
CARISMA,GILL,Gillam,56.376,265.36
CARISMA,GULL,Gull Lake,50.061,251.739
CARISMA,ISLL,Island Lake,53.856,265.34
CARISMA,LGRR,Little Grand Rapids,52.035,264.537
CARISMA,MCMU,Fort McMurray,56.657,248.79
CARISMA,MSTK,Ministik Lake,53.351,247.026
CARISMA,NORM,Norman Wells,65.257,233.311
CARISMA,OSAK,Osakis,45.871,264.917
CARISMA,OXFO,Oxford House,54.929,264.713
CARISMA,PINA,Pinawa,50.199,263.96
CARISMA,POLS,Polson,47.664,245.791
CARISMA,RABB,Rabbit Lake,58.222,256.32
CARISMA,RANK,Rankin Inlet,62.824,267.89
CARISMA,SACH,Sachs Harbour,71.98,234.77
CARISMA,TALO,Taloyoak,69.54,266.45
CARISMA,THRF,Thief River Falls,48.027,263.635
CARISMA,VULC,Vulcan,50.367,247.02
CARISMA,WEYB,Weyburn,49.693,256.2
CARISMA,WGRY,Wells Gray,51.883,239.974
CANMOS,ALE,Alert,82.497,297.647
CANMOS,BLC,Baker Lake,64.318,263.988
CANMOS,BRD,Brandon,49.87,260.026
CANMOS,CBB,Cambridge Bay,69.123,254.969
CANMOS,EUA,Eureka,80,274.1
CANMOS,FCC,Fort Churchill,58.759,265.912
CANMOS,GLN,Glenlea,49.645,262.88
CANMOS,GWC,Great Whale River,55.3,282.25
CANMOS,IQA,Iqaluit,63.753,291.482
CANMOS,MBC,Mould Bay,76.315,240.638
CANMOS,MEA,Meanook,54.616,246.653
CANMOS,OTT,Ottawa,45.403,284.448
CANMOS,PBQ,Poste de-la-Baleine,55.277,282.255
CANMOS,RES,Resolute,74.69,265.105
CANMOS,STJ,St. John's,47.595,307.323
CANMOS,SNK,Sanikiluaq,56.5,280.8
CANMOS,VIC,Victoria,48.52,236.58
CANMOS,WHS,Whiteshell,49.8,264.75
CANMOS,YKC,Yellowknife,62.48,245.518
AUTUMNX,FSJ,Fort St. John,56.23,239.27
AUTUMNX,AKUL,Akulivik,60.82,281.85
AUTUMNX,ATHA,Athabasca,54.714,246.686
AUTUMNX,INUK,Inukjuak,58.47,281.95
AUTUMNX,INUV,Inuvik,68.413,226.23
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24
AUTUMNX,LARG,La,55.158,254.739
AUTUMNX,LETH,Lethbridge,49.637,247.132
AUTUMNX,PUVR,Puvirnituq,60.05,282.71
AUTUMNX,RADI,Radisson,53.79,282.38
AUTUMNX,REDR,Red,52.143,246.161
AUTUMNX,ROTH,Priddis,50.873,245.698
AUTUMNX,SALU,Salluit,62.2,284.35
AUTUMNX,SCHF,Schefferville,54.8,293.19
AUTUMNX,SEPT,Spet-Iles,50.22,293.73
AUTUMNX,STFL,Saint-Felicien,48.65,287.55
AUTUMNX,VLDR,Val-d'Or,48.05,282.22
DTU,AMK,Tasiilaq,65.6,322.37
DTU,ATU,Attu,67.93,306.43
DTU,BFE,Brorfelde,55.625,11.672
DTU,DMH,Danmarkshavn,76.77,341.37
DTU,FHB,Paamiut,62,310.32
DTU,GDH,Qeqertarsuaq,69.25,306.47
DTU,GHB,Nuuk,64.17,308.27
DTU,HOV,Faroe Islands,61.5,353.24
DTU,KUV,Kullorsuaq,74.57,302.82
DTU,NAQ,Narsarsuaq,61.16,314.56
DTU,NRD,Nord,81.6,343.33
DTU,NRSQ,Narsarsuaq,61.162,314.558
DTU,ROE,Romo,55.172,8.55
DTU,SCO,Ittoqqortoormiit,70.48,338.03
DTU,SKT,Maniitsoq,65.42,307.1
DTU,STF,Kangerlussuaq,67.02,309.28
DTU,SUM,Summit Ice Cap,72.32,321.7
DTU,SVS,Savissivik,76.02,294.9
DTU,TAB,Thule Air Base ,79.54,291.18
DTU,TDC,Tristan Da Cunha ,-37.068,347.683
DTU,THL,Qaanaaq,77.47,290.77
